species,lon,lat
Egernia cunninghami,149.671479,-36.95455405
Egernia cunninghami,141.6933,-37.23472
Egernia cunninghami,140.6833,-37.63334
Egernia cunninghami,149.9574272,-36.21900651
Egernia cunninghami,153.157,-28.02222
Egernia cunninghami,145.54,-37.16
Egernia cunninghami,149.4531567,-36.55646709
Egernia cunninghami,143.67,-36.5
Egernia cunninghami,139.3180149,-35.03185888
Egernia cunninghami,145.2114,-35.92944
Egernia cunninghami,152.2229211,-31.0904123
Egernia cunninghami,143.81,-36.49
Egernia cunninghami,148.7492883,-26.31458642
Egernia cunninghami,149.633,-33.066
Egernia cunninghami,147.67,-37.8
Egernia cunninghami,149.3973219,-37.07441467
Egernia cunninghami,153.22912,-27.63062424
Egernia cunninghami,152.6,-27.46139
Egernia cunninghami,145.48,-37.97
Egernia cunninghami,141.9918283,-36.61868105
Egernia cunninghami,152.0902591,-31.05126158
Egernia cunninghami,151.5166667,-32.1958333
Egernia cunninghami,146.67,-36.53
Egernia cunninghami,138.6525,-34.82095
Egernia cunninghami,152.690933,-29.70193862
Egernia cunninghami,142.54,-35.9
Egernia cunninghami,149.73,-34.75
Egernia cunninghami,147.94,-37.27
Egernia cunninghami,144.86,-37.76
Egernia cunninghami,151.6107733,-31.36545261
Egernia cunninghami,144.23,-35.83
Egernia cunninghami,150.1427106,-32.83988028
Egernia cunninghami,150.6760497,-34.62985709
Egernia cunninghami,151.0237196,-33.97819257
Egernia cunninghami,142.81,-34.92
Egernia cunninghami,149.6079409,-37.1503972
Egernia cunninghami,148.951,-35.661
Egernia cunninghami,150.6015616,-34.93485301
Egernia cunninghami,146.2812955,-35.24558948
Egernia cunninghami,150.5088424,-34.62109599
Egernia cunninghami,150.969965,-33.628474
Egernia cunninghami,145.31,-36.75
Egernia cunninghami,152.0589608,-30.93981502
Egernia cunninghami,149.019,-34.99
Egernia cunninghami,138.8853,-35.16722
Egernia cunninghami,146.96,-36.54
Egernia cunninghami,149.41,-35.08
Egernia cunninghami,152.6378175,-31.22244631
Egernia cunninghami,153.008,-27.408
Egernia cunninghami,149.6717817,-36.938165
Egernia cunninghami,147.81,-36.74
Egernia cunninghami,150.1805886,-32.8740907
Egernia cunninghami,151.3647,-32.87917
Egernia cunninghami,143.81,-38.27
Egernia cunninghami,145.91,-36.57
Egernia cunninghami,150.4836422,-31.53438799
Egernia cunninghami,139.1253,-34.83611
Egernia cunninghami,153.0644,-26.6225
Egernia cunninghami,145.72,-37.65
Egernia cunninghami,141.32,-37.94
Egernia cunninghami,148.4420715,-36.34081451
Egernia cunninghami,149.82,-29.48
Egernia cunninghami,139.57911,-34.47875
Egernia cunninghami,145.9667,-34.21667
Egernia cunninghami,150.1830337,-35.33350563
Egernia cunninghami,145.82,-36.35
Egernia cunninghami,143.36,-38.12
Egernia cunninghami,144.1263196,-37.89433007
Egernia cunninghami,142.44,-37.3
Egernia cunninghami,153.2728,-29.1387
Egernia cunninghami,153.084438,-29.24842893
Egernia cunninghami,150.27361,-32.44861
Egernia cunninghami,151.1833344,-31.5430603
Egernia cunninghami,152.6437279,-28.37379631
Egernia cunninghami,139.1347,-35.12
Egernia cunninghami,152.9470502,-30.40668631
Egernia cunninghami,144.2183,-37.485
Egernia cunninghami,144.66,-37.73
Egernia cunninghami,153.2431593,-29.34571038
Egernia cunninghami,146.3563843,-33.17555618
Egernia cunninghami,145.55,-36.93
Egernia cunninghami,142.3381,-36.64944
Egernia cunninghami,148.1336,-34.55667
Egernia cunninghami,145.0012761,-35.33180954
Egernia cunninghami,148.2767,-36.48111
Egernia cunninghami,151.2156,-31.33945
Egernia cunninghami,149.438654,-33.3591842
Egernia cunninghami,144.6,-37.95
Egernia cunninghami,146.44,-37.25
Egernia cunninghami,152.9517878,-27.43116389
Egernia cunninghami,151.6067,-27.63639
Egernia cunninghami,141.39,-36.79
Egernia cunninghami,141.8,-37
Egernia cunninghami,149.8517315,-37.08012152
Egernia cunninghami,147.0867,-38.27333
Egernia cunninghami,143.7544,-37.84028
Egernia cunninghami,143.3236,-36.31055
Egernia cunninghami,145.217146,-34.72368951
Egernia cunninghami,152.919975,-30.78363849
Egernia cunninghami,151.5672693,-33.16515822
Egernia cunninghami,141.73,-36.96
Egernia cunninghami,148.65,-33.84
Egernia cunninghami,147.77,-36.04
Egernia cunninghami,153.0104483,-30.3630205
Egernia cunninghami,150.41,-34.16
Egernia cunninghami,149.3607774,-36.24182042
Egernia cunninghami,150.7552465,-34.16323328
Egernia cunninghami,149.8707116,-35.83196413
Egernia cunninghami,149.5472632,-30.80386336
Egernia cunninghami,147.43,-36.13
Egernia cunninghami,145.32,-38.16
Egernia cunninghami,147.7447,-31.60472
Egernia cunninghami,149.2771659,-33.1593936
Egernia cunninghami,151.6706475,-32.93657777
Egernia cunninghami,142.03,-37.19
Egernia cunninghami,138.8506,-35.38139
Egernia cunninghami,148.2020776,-36.16767794
Egernia cunninghami,146.38,-34.55
Egernia cunninghami,139.00035,-35.15289
Egernia cunninghami,138.71432,-34.92567
Egernia cunninghami,151.37374,-30.45849997
Egernia cunninghami,151.8741409,-32.70689931
Egernia cunninghami,152.222911,-29.67126709
Egernia cunninghami,150.685313,-33.43050823
Egernia cunninghami,147.9062868,-35.92190303
Egernia cunninghami,150.0508565,-35.5901799
Egernia cunninghami,150.8654336,-33.84581629
Egernia cunninghami,150.9734548,-27.54856555
Egernia cunninghami,150.542299,-26.556034
Egernia cunninghami,148.98,-37.43
Egernia cunninghami,138.2503,-33.77694
Egernia cunninghami,150.2699722,-33.17147153
Egernia cunninghami,138.81475,-35.05116
Egernia cunninghami,143.47,-37.98
Egernia cunninghami,150.8879179,-34.24030669
Egernia cunninghami,147.36336,-35.3562842
Egernia cunninghami,141.94,-35.92
Egernia cunninghami,150.5011284,-29.88175304
Egernia cunninghami,147.48,-37.68
Egernia cunninghami,147.0952984,-35.77786984
Egernia cunninghami,152.3162718,-29.70113923
Egernia cunninghami,150.6121385,-32.7127954
